PhyloSpp,Family,Habitat,Dorsoventral,Lateral,SM50,IncludedAngle,SerrationAngle,PropSerrated,SerrationLength,SA.Vol,SpineAR
Dasyatis_akajei,Dasyatidae,SW,5.37573,3.15703,1.27323,20.236,31.16088206,0.555476891,0.007353033,3.3862642,16.63450413
Dasyatis_americana,Dasyatidae,SW,7.57201,3.7397,1.81008,20.205,34.20454641,0.665556938,0.008940177,1.64665521,18.60027831
Dasyatis_margaritella,Dasyatidae,SW,6.02171,3.70257,1.57059,14.041,29.06798909,0.583543193,0.010631055,2.51189061,20.49546066
Dasyatis_sabina,Dasyatidae,SW,6.59696,4.229145,1.505405,17.3465,28.48587011,0.531308646,0.013777206,4.031125963,20.78054657
Dasyatis_say,Dasyatidae,SW,5.28381,2.64409,1.67512,17.868,39.96991715,0.785039853,0.015082771,3.574932891,12.68931535
Himantura_gerrardi,Dasyatidae,SW,6.28259,2.98998,1.55864,18.174,29.17435395,0.542303772,0.011213048,4.674929994,16.58495351
Himantura_signifer,Dasyatidae,FW,2.86207,1.99153,1.58834,20.402,41.99969728,0.8927955,0.022928529,4.416694635,9.303684922
Himantura_uarnak,Dasyatidae,SW,7.154555,3.60363,1.416435,17.6465,30.75519874,0.55643688,0.009230549,4.511812292,26.53860504
Himantura_walga,Dasyatidae,SW,6.26781,3.89588,2.0661,13.489,29.66671521,0.534020308,0.012517495,3.90785121,17.22665788
Myliobatis_californicus,Myliobatidae,SW,4.32874,2.42658,1.68961,26.763,39.04399157,0.543185841,0.016312684,4.905788153,11.71793985
Neotrygon_kuhlii,Dasyatidae,SW,4.07596,2.83172,1.64687,20.207,30.97308657,0.841177639,0.023731506,4.285019632,13.72070845
Paratrygon_aiereba,Potamotrygonidae,FW,3.70444,2.14829,1.61763,28.055,30.7407735,0.561570241,0.029678799,6.34509807,11.90841031
Potamotrygon_motoro,Potamotrygonidae,FW,4.749625,2.496935,2.26579,23.0165,40.62213324,0.687938573,0.007725427,7.224693627,12.87994481
Potamotrygon_orbignyi,Potamotrygonidae,FW,4.60335,2.54462,1.85454,25.947,42.70602625,0.668259097,0.015563297,6.29267331,12.04951667
Taeniura_lymma,Dasyatidae,SW,6.24887,3.46529,1.6359,18.043,34.96826026,0.823251147,0.016894659,5.099661299,16.70612385
Urolophus_aurantiacus,Urolophidae,SW,5.79113,2.6358,2.03437,19.001,33.60563318,0.58003189,0.026431257,3.232152346,12.05789907
Urobatis_concentricus,Urotrygonidae,SW,4.17302,2.16761,1.77743,19.328,34.31190989,0.479139045,0.012035963,2.392677727,11.37149588
Urobatis_halleri,Urotrygonidae,SW,5.14693,2.19565,2.01272,24.379,37.955327,0.414749817,0.011758576,3.686890932,11.98121478
Urobatis_jamaicensis,Urotrygonidae,SW,4.119165,2.29519,2.1246,19.251,39.15398632,0.527211732,0.014239672,4.176375476,12.90661038
Urobatis_maculatus,Urotrygonidae,SW,4.78988,2.29765,1.83117,15.507,26.29126804,0.423509466,0.020332069,2.32626855,12.10372396
Urolophus_paucimaculatus,Urolophidae,SW,4.74214,2.46147,1.75248,19.062,40.44433162,0.653959651,0.021258657,4.273673095,11.74328147
Urotrygon_rogersi,Urotrygonidae,SW,4.74888,3.10576,1.52636,13.838,34.6619129,0.366966395,0.0044752,3.97361701,17.81471457
